Dataset,Classifier,AUC,AUC,F1,F1,LogLoss,LogLoss,Accuracy,Accuracy,Runtime,Runtime
,,mean,std,mean,std,mean,std,mean,std,mean,std
!ar4.csv,DecisionTree,0.6758169934640522,0.1214704717416854,0.6713200280112044,0.1282666213707201,7.708036698798213,3.3878418586087804,0.786147186147186,0.0939927432448257,0.0002997398376464844,0.00018282107032535077
!ar4.csv,MonteCarloDecisionTree_Depth_Prob_DecisionTreeAttack,0.5524509803921569,0.19397135147678096,0.414267094017094,0.23858685682320468,4.678997986008334,4.56174983213977,0.5069264069264069,0.30037644341471803,0.003803920745849609,0.0003139163552424216
!ar4.csv,MonteCarloDecisionTree_Distance_Prob_DecisionTreeAttack,0.44264705882352945,0.1202211503854459,0.25583347449651794,0.21444943854646178,7.952718001860636,4.647212891458975,0.2813852813852814,0.25672400916401034,0.011269617080688476,0.001476050678659927
!ar4.csv,MonteCarloDecisionTree_Fix_Prob_DecisionTreeAttack,0.3943627450980392,0.20016206482148594,0.38971875346875345,0.23286707720631492,5.220309556566375,1.8488010668103498,0.44632034632034634,0.28312151656983986,0.006109189987182617,0.002428500804961817
!ar4.csv,FeatureSqueezing_DecisionTreeAttack,0.5,0.0,0.44842105263157894,0.0014413751513293878,6.740631283159571,0.17092573174127232,0.8129870129870131,0.004742186645066359,0.000177001953125,4.11182545860433e-05
!ar4.csv,DecisionTree_DecisionTreeAttack,0.3241830065359477,0.1214704717416854,0.2115532903404757,0.09268581819198995,28.335616690318936,3.3878418586087795,0.21385281385281382,0.09399274324482572,0.0001537799835205078,4.353995887696665e-06
!ar4.csv,DecisionTree_ZooAttack,0.5816993464052287,0.15293388794710538,0.567954297508477,0.1959876454159415,11.01593908775615,7.162965982082178,0.6943722943722943,0.1987302980847366,0.0003188610076904297,0.0002633749839096015
!ar4.csv,FeatureSqueezing_ZooAttack,0.5,0.0,0.44842105263157894,0.0014413751513293878,6.740631283159571,0.17092573174127232,0.8129870129870131,0.004742186645066359,0.00020823478698730468,0.00014386270707369026
!ar4.csv,MonteCarloDecisionTree_Certainty_Prob_ZooAttack,0.6163398692810458,0.22891976085461815,0.605266700475529,0.16750866465599648,2.1762520049929,1.766199187435922,0.7038961038961039,0.19532998096935808,0.021608972549438478,0.00799822840288498
!ar4.csv,MonteCarloDecisionTree_Confidence_Prob_ZooAttack,0.6254901960784314,0.0890950944965162,0.6078174603174603,0.1236430823134916,9.744981006951033,4.3709680397291875,0.7121212121212122,0.140908924664587,0.05347399711608887,0.007844890235922837
!ar4.csv,MonteCarloDecisionTree_Depth_Prob_ZooAttack,0.6535130718954248,0.23865342619943564,0.5727209886887307,0.19302738197211516,2.1139811621066626,1.2429649512377192,0.6757575757575758,0.2200480209818181,0.0046271800994873045,0.002232161344053278
!ar4.csv,MonteCarloDecisionTree_Distance_Prob_ZooAttack,0.5945261437908497,0.15597023632189952,0.5600420168067227,0.20515378508627372,3.820569578570319,2.272192061848679,0.6852813852813853,0.2153848238958547,0.012952804565429688,0.003292351255282082
!ar4.csv,MonteCarloDecisionTree_Fix_Prob_ZooAttack,0.5404411764705882,0.18902984894037894,0.5584345853036555,0.1825026758126039,4.464868918975937,3.0348416164926824,0.6744588744588744,0.18476152947295713,0.004111099243164063,0.0009134806384110321
!ar4.csv,MonteCarloDecisionTree_Confidence_Prob_DecisionTreeAttack,0.45179738562091504,0.218408652250814,0.36981790268554976,0.1794263497339794,20.249183883992174,8.829844961149613,0.4121212121212121,0.21465489209449506,0.04105701446533203,0.010038579904044217
!ar4.csv,MonteCarloDecisionTree_Agreement_Prob_DecisionTreeAttack,0.5566993464052288,0.20981197045420338,0.3770329279571916,0.24393572323048587,2.4488316870454176,3.2320741145714975,0.4532467532467532,0.2944423140560234,0.015285348892211914,0.0035195047034251416
!ar4.csv,FeatureSqueezing,0.5,0.0,0.44842105263157894,0.0014413751513293878,6.740631283159571,0.17092573174127232,0.8129870129870131,0.004742186645066359,0.0002557277679443359,0.00021829832166671571
!ar4.csv,MonteCarloDecisionTree_Certainty_Prob,0.7497549019607843,0.17455902313174462,0.6713200280112044,0.1282666213707201,1.6941963296673,1.2327335449398362,0.786147186147186,0.0939927432448257,0.014608430862426757,0.003187074628672791
!ar4.csv,MonteCarloDecisionTree_Confidence,0.6544117647058824,0.12809190019578354,0.6713200280112044,0.1282666213707201,7.715994656206488,3.3903860834471202,0.786147186147186,0.0939927432448257,0.036575937271118165,0.011953267611481338
!ar4.csv,MonteCarloDecisionTree_Depth_Prob,0.7105392156862745,0.18016271255333258,0.6713200280112044,0.1282666213707201,2.982468052041975,2.0071184465845544,0.786147186147186,0.0939927432448257,0.005986976623535156,0.005225788389045131
!ar4.csv,MonteCarloDecisionTree_Distance_Prob,0.663562091503268,0.17463166016756673,0.6713200280112044,0.1282666213707201,2.3850261847551253,2.618534108945352,0.786147186147186,0.0939927432448257,0.010345792770385743,0.0009341776568570053
!ar4.csv,MonteCarloDecisionTree_Fix_Prob,0.6383169934640522,0.1595417966946677,0.6713200280112044,0.1282666213707201,3.056859910087101,1.9423207585888265,0.786147186147186,0.0939927432448257,0.003604269027709961,0.0002843548437709954
!bodyfat.csv,FeatureSqueezing,0.5,0.0,0.33681932102984735,0.0036628799702853885,17.73630442065263,0.30074185315241936,0.507921568627451,0.008343822694822188,0.0001552104949951172,5.634452008293378e-06
