Dataset,Classifier,AUC,AUC,F1,F1,LogLoss,LogLoss,Accuracy,Accuracy,Runtime,Runtime
,,mean,std,mean,std,mean,std,mean,std,mean,std
!ar4.csv,FeatureSqueezing,0.8449346405228757,0.1369450186099874,0.6674050132873662,0.14051143475371797,1.5976109005763561,2.1872835352228988,0.8415584415584416,0.05120774810894647,0.01057882308959961,0.003860487213901286
!ar4.csv,MonteCarloRandomForest_Distance_Prob_ZooAttack,0.8013071895424837,0.12064340847744787,0.699156673893516,0.12175142395682796,0.40285655461748326,0.11225234273269626,0.8506493506493505,0.06980309738786622,5.506058835983277,0.6026270116294026
!ar4.csv,MonteCarloRandomForest_Depth_Prob_ZooAttack,0.8477124183006536,0.10313163209405092,0.7003499362322891,0.12715259055657085,0.3999187086669426,0.10147741930849348,0.8510822510822511,0.06768007511524757,0.6350625991821289,0.051645564998816985
!ar4.csv,MonteCarloRandomForest_Confidence_Prob_ZooAttack,0.8091503267973856,0.13379823912912142,0.7081346281346281,0.13008692599800992,0.4421840696632435,0.12101028192107485,0.8415584415584416,0.07761181617902647,6.080166625976562,0.5498202506900391
!ar4.csv,FeatureSqueezing_ZooAttack,0.5906862745098039,0.06714523299903292,0.44842105263157894,0.0014413751513293878,3.5769604849258156,2.922623901302904,0.8129870129870131,0.004742186645066359,0.0010041236877441407,0.0002828364738830134
!ar4.csv,MonteCarloRandomForest_Agreement_Prob_ZooAttack,0.8073529411764706,0.1619651164971572,0.7468189327012856,0.11083401430977792,0.7084212596087585,0.8870491929218061,0.8787878787878787,0.05326170908815705,2.6190231800079347,0.2560599680640127
!ar4.csv,RandomForest_ZooAttack,0.8405228758169935,0.13567307446465485,0.6738133244325195,0.04743066252528997,1.6025816608909107,2.184996896475315,0.841125541125541,0.0252236487133458,0.0007710456848144531,5.548881912353116e-05
!ar4.csv,MonteCarloRandomForest_Fix_Prob_ZooAttack,0.8380718954248365,0.11450980217286685,0.7590642896834847,0.1443441147660184,0.3878511583763562,0.10699023430915926,0.8792207792207792,0.06987688858345244,0.5209098815917969,0.01706159627421772
!ar4.csv,MonteCarloRandomForest_Confidence_Prob,0.8101307189542484,0.11654491230150449,0.7000441787941788,0.13562460576373114,0.4412054513026501,0.12249557465718112,0.8320346320346321,0.09150751298153875,6.2207275390625,0.6165437221162949
